Most Informative Features
('it\xe2', '\x80\x99', 'worth') = True           libert : conser =      5.1 : 1.0
('doesn\xe2', '\x80\x99', 'know') = True           conser : libera =      5.1 : 1.0
('\xe2', '\x80\x94', 'especially') = True           conser : libera =      5.1 : 1.0
('can\xe2', '\x80\x99', 'find') = True           conser : libera =      5.1 : 1.0
('free', 'trade', 'agreement') = True           libert : libera =      5.0 : 1.0
 ('past', '15', 'years') = True           conser : libert =      5.0 : 1.0
('new', 'york', 'mayor') = True           conser : libert =      5.0 : 1.0
('labeled', '\xe2', '\x80\x9c') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x94', 'state') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x94', 'offer') = True           conser : libert =      5.0 : 1.0
('violence', '\xe2', '\x80\x9d') = True           conser : libert =      5.0 : 1.0
('pope', 'benedict', 'xvi') = True           conser : libert =      5.0 : 1.0
('carson', 'carly', 'fiorina') = True           conser : libert =      5.0 : 1.0
('stay', 'strong', '\xe2') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x94', 'perhaps') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x9c', 'worst') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x9d', 'seems') = True           conser : libert =      5.0 : 1.0
('don\xe2', '\x80\x99', 'talk') = True           conser : libert =      5.0 : 1.0
('access', 'health', 'care') = True           conser : libert =      5.0 : 1.0
('deputy', 'chief', 'staff') = True           conser : libert =      5.0 : 1.0
('legislation', '\xe2', '\x80\x94') = True           conser : libert =      5.0 : 1.0
('explained', 'national', 'review') = True           conser : libert =      5.0 : 1.0
('right', 'wing', 'conspiracy') = True           conser : libert =      5.0 : 1.0
('like', 'pope', 'francis') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x9c', 'small') = True           conser : libert =      5.0 : 1.0
('since', 'president', 'obama') = True           conser : libert =      5.0 : 1.0
('use', 'private', 'email') = True           conser : libert =      5.0 : 1.0
('enemies', '\xe2', '\x80\x9d') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x94', 'obama') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x9d', 'rather') = True           conser : libert =      5.0 : 1.0
('it\xe2', '\x80\x99', 'almost') = True           conser : libert =      5.0 : 1.0
   ('3', '7', 'billion') = True           conser : libert =      5.0 : 1.0
('iranian', 'president', 'hassan') = True           conser : libert =      5.0 : 1.0
('doesn\xe2', '\x80\x99', 'fit') = True           conser : libert =      5.0 : 1.0
('production', '\xe2', '\x80\x9d') = True           conser : libert =      5.0 : 1.0
('says', 'he\xe2', '\x80\x99') = True           conser : libert =      5.0 : 1.0
('upper', 'middle', 'class') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x94', 'come') = True           conser : libert =      5.0 : 1.0
('history', '\xe2', '\x80\x94') = True           conser : libert =      5.0 : 1.0
('libya', '\xe2', '\x80\x9d') = True           conser : libert =      5.0 : 1.0
('clinton', '\xe2', '\x80\x9d') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x9c', 'come') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x94', 'though') = True           conser : libert =      5.0 : 1.0
('priorities', '\xe2', '\x80\x9d') = True           conser : libert =      5.0 : 1.0
('attack', '\xe2', '\x80\x94') = True           conser : libert =      5.0 : 1.0
('\x80\x9c', 'fair', 'share\xe2') = True           conser : libert =      5.0 : 1.0
('reference', '\xe2', '\x80\x9c') = True           conser : libert =      5.0 : 1.0
    ('11', '2015', '12') = True           conser : libert =      5.0 : 1.0
('\x80\x9c', 'he\xe2', '\x80\x99') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x9c', 'sweat') = True           conser : libert =      5.0 : 1.0
('foreign', 'relations', 'committee') = True           conser : libert =      5.0 : 1.0
('senate', 'armed', 'services') = True           conser : libert =      5.0 : 1.0
('president', 'obama', 'promised') = True           conser : libert =      5.0 : 1.0
('president', 'hassan', 'rouhani') = True           conser : libert =      5.0 : 1.0
('case', 'obama\xe2', '\x80\x99') = True           conser : libert =      5.0 : 1.0
('doesn\xe2', '\x80\x99', 'care') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x94', 'least') = True           conser : libert =      5.0 : 1.0
('senate', 'foreign', 'relations') = True           conser : libert =      5.0 : 1.0
('c', '\xe2', '\x80\x99') = True           conser : libert =      5.0 : 1.0
('sustainable', 'development', 'goals') = True           conser : libert =      5.0 : 1.0
('wants', '\xe2', '\x80\x9c') = True           conser : libert =      5.0 : 1.0
('vast', 'right', 'wing') = True           conser : libert =      5.0 : 1.0
('rubio', 'jeb', 'bush') = True           conser : libert =      5.0 : 1.0
('programs', '\xe2', '\x80\x9d') = True           conser : libert =      5.0 : 1.0
('\x80\x9c', 'john', 'doe\xe2') = True           conser : libert =      5.0 : 1.0
('john', 'doe\xe2', '\x80\x9d') = True           conser : libert =      5.0 : 1.0
('obama', '\xe2', '\x80\x9c') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x9c', 'political') = True           conser : libert =      5.0 : 1.0
('must', 'everything', 'possible') = True           conser : libert =      5.0 : 1.0
('state', 'local', 'taxes') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x9c', 'purchase') = True           conser : libert =      5.0 : 1.0
('rubio', '\xe2', '\x80\x9c') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x94', 'among') = True           conser : libert =      5.0 : 1.0
('planned', 'parenthood', 'real') = True           conser : libert =      5.0 : 1.0
('o\xe2', '\x80\x99', 'neill') = True           conser : libert =      5.0 : 1.0
('might', 'look', 'like') = True           conser : libert =      5.0 : 1.0
('francis\xe2', '\x80\x99', 'call') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x94', 'donald') = True           conser : libert =      5.0 : 1.0
('office', 'personnel', 'management') = True           conser : libert =      5.0 : 1.0
('social', 'safety', 'net') = True           conser : libert =      5.0 : 1.0
('obama\xe2', '\x80\x99', 'iran') = True           conser : libert =      5.0 : 1.0
('ben', 'carson', 'carly') = True           conser : libert =      5.0 : 1.0
('higher', 'income', 'households') = True           conser : libert =      5.0 : 1.0
('act', '\xe2', '\x80\x9c') = True           conser : libert =      5.0 : 1.0
('power', 'middle', 'east') = True           conser : libert =      5.0 : 1.0
('story', 'http', 'www') = True           conser : libert =      5.0 : 1.0
('hillary', 'clinton', 'campaign') = True           conser : libert =      5.0 : 1.0
('private', 'health', 'insurance') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x94', 'says') = True           conser : libert =      5.0 : 1.0
('small', '\xe2', '\x80\x9d') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x9d', 'imagine') = True           conser : libert =      5.0 : 1.0
